pair_id,band,paradigm,frame_id,patient,agent,prefix,suffix,good_lemma,bad_lemma,good_verb,bad_verb,bad_active_class,good_lemma_zipf,bad_lemma_zipf,good_form_zipf,bad_form_zipf,lemma_zipf_gap,form_zipf_gap,both_lemmas_in_band,sentence_good,sentence_bad,good_whole_lp,good_verb_lp,good_suffix_lp,good_by_lp,good_n_scored_tokens,good_verb_tokens,bad_whole_lp,bad_verb_lp,bad_suffix_lp,bad_by_lp,bad_n_scored_tokens,bad_verb_tokens,whole_margin,verb_margin,suffix_margin,by_margin,correct
head/passive_1/insure/was,head,passive_1,was,house,company,The house was , by the company.,insure,vanish,insured,vanished,simple_intransitive,3.4,3.39,3.69,3.72,0.009999999999999787,-0.03000000000000025,0,The house was insured by the company.,The house was vanished by the company.,-26.806352734565735,-8.064126014709473,-10.614782214164734,-1.5924980640411377,7,1,-36.61468720436096,-12.970376014709473,-15.516866683959961,-5.092777252197266,7,1,9.808334469795227,4.90625,4.902084469795227,3.500279188156128,1
head/passive_1/insure/had_been,head,passive_1,had_been,house,company,The house had been , by the company.,insure,vanish,insured,vanished,simple_intransitive,3.4,3.39,3.69,3.72,0.009999999999999787,-0.03000000000000025,0,The house had been insured by the company.,The house had been vanished by the company.,-28.861769378185272,-8.760329246520996,-9.578653931617737,-1.413124442100525,8,1,-37.81664860248566,-12.432204246520996,-14.861658155918121,-4.225959777832031,8,1,8.954879224300385,3.671875,5.2830042243003845,2.8128353357315063,1
head/passive_2/insure/was,head,passive_2,was,house,,The house was ,.,insure,vanish,insured,vanished,simple_intransitive,3.4,3.39,3.69,3.72,0.009999999999999787,-0.03000000000000025,0,The house was insured.,The house was vanished.,-19.40906858444214,-8.064126014709473,-3.2174980640411377,0.0,4,1,-22.628097534179688,-12.970376014709473,-1.5302770137786865,0.0,4,1,3.219028949737549,4.90625,-1.6872210502624512,0.0,1
head/passive_2/insure/had_been,head,passive_2,had_been,house,,The house had been ,.,insure,vanish,insured,vanished,simple_intransitive,3.4,3.39,3.69,3.72,0.009999999999999787,-0.03000000000000025,0,The house had been insured.,The house had been vanished.,-22.44624000787735,-8.760329246520996,-3.1631245613098145,0.0,5,1,-24.493450224399567,-12.432204246520996,-1.5384597778320312,0.0,5,1,2.047210216522217,3.671875,-1.6246647834777832,0.0,1
head/passive_1/confront/was,head,passive_1,was,suspect,officer,The suspect was , by the officer.,confront,testify,confronted,testified,clausal_complement,3.8,3.84,3.84,3.82,-0.040000000000000036,0.020000000000000018,1,The suspect was confronted by the officer.,The suspect was testified by the officer.,-27.401752948760986,-6.841179847717285,-9.190725564956665,-0.4308135509490967,7,1,-37.36172354221344,-15.122429847717285,-10.869446158409119,-2.6599457263946533,7,1,9.959970593452454,8.28125,1.6787205934524536,2.2291321754455566,1
head/passive_1/confront/had_been,head,passive_1,had_been,suspect,officer,The suspect had been , by the officer.,confront,testify,confronted,testified,clausal_complement,3.8,3.84,3.84,3.82,-0.040000000000000036,0.020000000000000018,1,The suspect had been confronted by the officer.,The suspect had been testified by the officer.,-32.35421681404114,-7.5362091064453125,-9.665865302085876,-0.7276161909103394,8,1,-42.22853624820709,-14.801834106445312,-12.274559736251831,-3.514340877532959,8,1,9.874319434165955,7.265625,2.6086944341659546,2.7867246866226196,1
head/passive_2/confront/was,head,passive_2,was,suspect,,The suspect was ,.,confront,testify,confronted,testified,clausal_complement,3.8,3.84,3.84,3.82,-0.040000000000000036,0.020000000000000018,1,The suspect was confronted.,The suspect was testified.,-24.391841173171997,-6.841179847717285,-6.180813789367676,0.0,4,1,-31.652222871780396,-15.122429847717285,-5.159945487976074,0.0,4,1,7.260381698608398,8.28125,-1.0208683013916016,0.0,1
head/passive_2/confront/had_been,head,passive_2,had_been,suspect,,The suspect had been ,.,confront,testify,confronted,testified,clausal_complement,3.8,3.84,3.84,3.82,-0.040000000000000036,0.020000000000000018,1,The suspect had been confronted.,The suspect had been testified.,-29.22846782207489,-7.5362091064453125,-6.540116310119629,0.0,5,1,-36.40581738948822,-14.801834106445312,-6.451840877532959,0.0,5,1,7.17734956741333,7.265625,-0.08827543258666992,0.0,1
head/passive_1/impose/was,head,passive_1,was,fine,judge,The fine was , by the judge.,impose,emerge,imposed,emerged,simple_intransitive,3.92,3.89,4.16,4.16,0.029999999999999805,0.0,1,The fine was imposed by the judge.,The fine was emerged by the judge.,-26.95248556137085,-4.3700408935546875,-9.874887466430664,-2.258370876312256,7,1,-38.90690016746521,-15.661056518554688,-10.538286447525024,-2.719231128692627,7,1,11.95441460609436,11.291015625,0.6633989810943604,0.4608602523803711,1
head/passive_1/impose/had_been,head,passive_1,had_been,fine,judge,The fine had been , by the judge.,impose,emerge,imposed,emerged,simple_intransitive,3.92,3.89,4.16,4.16,0.029999999999999805,0.0,1,The fine had been imposed by the judge.,The fine had been emerged by the judge.,-29.589995801448822,-4.1562933921813965,-9.372105717658997,-2.287320375442505,8,1,-41.60722154378891,-14.687543869018555,-10.858080983161926,-2.7731876373291016,8,1,12.017225742340088,10.531250476837158,1.4859752655029297,0.4858672618865967,1
