pair_key,regime,subtask,template_id,context_id,subject,subject_class,good_row_id,bad_row_id,good_verb,bad_verb,good_source_zipf,bad_source_zipf,good_source_zipf_regime,bad_source_zipf_regime,good_inventory_source,bad_inventory_source,frame_continuation,whole_pair_object,good_sentence,bad_sentence,good_prompt,bad_prompt,good_anchor_token_index,bad_anchor_token_index,good_sentence_logprob,bad_sentence_logprob,good_minus_bad_lp,good_preferred
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|0|roll|die,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|roll|744,v2|head|causative|overlay_subject_check_s00_box|bad|die|192,roll,die,4.75,5.070000171661377,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will roll the rope.","During the check, the box will die the rope.","During the check, the box will roll","During the check, the box will die",7,7,-47.79914093017578,-53.74799346923828,5.9488525390625,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|1|melt|exist,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|melt|741,v2|head|causative|overlay_subject_check_s00_box|bad|exist|195,melt,exist,3.9600000381469727,4.730000019073486,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will melt the rope.","During the check, the box will exist the rope.","During the check, the box will melt","During the check, the box will exist",7,7,-47.92799377441406,-54.845489501953125,6.9174957275390625,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|2|stretch|respond,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|stretch|751,v2|head|causative|overlay_subject_check_s00_box|bad|respond|201,stretch,respond,4.349999904632568,4.53000020980835,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will stretch the rope.","During the check, the box will respond the rope.","During the check, the box will stretch","During the check, the box will respond",7,7,-47.3425178527832,-55.314483642578125,7.971965789794922,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|3|soak|disappear,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|soak|749,v2|head|causative|overlay_subject_check_s00_box|bad|disappear|194,soak,disappear,3.609999895095825,4.090000152587891,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will soak the rope.","During the check, the box will disappear the rope.","During the check, the box will soak","During the check, the box will disappear",7,7,-49.76879119873047,-50.68096160888672,0.91217041015625,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|4|grow|scream,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|grow|740,v2|head|causative|overlay_subject_check_s00_box|bad|scream|202,grow,scream,4.900000095367432,4.139999866485596,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will grow the rope.","During the check, the box will scream the rope.","During the check, the box will grow","During the check, the box will scream",7,7,-47.86216735839844,-52.692264556884766,4.830097198486328,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|5|close|cry,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|close|731,v2|head|causative|overlay_subject_check_s00_box|bad|cry|191,close,cry,5.360000133514404,4.590000152587891,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will close the rope.","During the check, the box will cry the rope.","During the check, the box will close","During the check, the box will cry",7,7,-46.67737579345703,-53.962181091308594,7.2848052978515625,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|6|burn|complain,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|burn|728,v2|head|causative|overlay_subject_check_s00_box|bad|complain|189,burn,complain,4.53000020980835,4.230000019073486,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will burn the rope.","During the check, the box will complain the rope.","During the check, the box will burn","During the check, the box will complain",7,7,-47.615234375,-56.3902473449707,8.775012969970703,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|7|chip|laugh,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|chip|730,v2|head|causative|overlay_subject_check_s00_box|bad|laugh|197,chip,laugh,4.309999942779541,4.659999847412109,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will chip the rope.","During the check, the box will laugh the rope.","During the check, the box will chip","During the check, the box will laugh",7,7,-50.72819900512695,-55.53596496582031,4.807765960693359,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|8|open|chat,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|open|743,v2|head|causative|overlay_subject_check_s00_box|bad|chat|187,open,chat,5.480000019073486,4.570000171661377,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will open the rope.","During the check, the box will chat the rope.","During the check, the box will open","During the check, the box will chat",7,7,-47.573490142822266,-56.45496368408203,8.881473541259766,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|9|awaken|boast,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|awaken|725,v2|head|causative|overlay_subject_check_s00_box|bad|boast|186,awaken,boast,3.7200000286102295,3.509999990463257,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will awaken the rope.","During the check, the box will boast the rope.","During the check, the box will awaken","During the check, the box will boast",7,7,-49.819244384765625,-54.08891296386719,4.2696685791015625,1
