alignment_status,frame,full_context,full_context_token_count,intervention_anchor,lead_subjects,lemma,n_leads,priming_text,probe_form_token_count,probe_form_token_ids,probe_form_token_pieces,probe_subject,probe_subject_animacy,probe_surface,probe_text,probe_token_count,row_id,stem_index,tokenizer_model,verb_final_tok_idx,coord_0_raw,coord_0_calibrated,projection_norm,residual_norm,projection_norm_frac
aligned,T-,"In the lab, the rope bipumed. During the check, the artist bipumed. After the visit, the door bipumed. Tomorrow, the paper will bipum",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'rope'}, {'animacy': 'animate', 'object': '', 'subject': 'artist'}, {'animacy': 'inanimate', 'object': '', 'subject': 'door'}]",bipum,3,"In the lab, the rope bipumed. During the check, the artist bipumed. After the visit, the door bipumed.",2,"[15086, 360]","['Ġbip', 'um']",paper,inanimate, bipum,"Tomorrow, the paper will bipum",7,nonce|0008|bipum|T-,8,EleutherAI/pythia-1.4b,33,-2.593522548675537,2.593522548675537,2.593522787094116,113.02601623535156,0.022946246125260944
aligned,T-,"In the lab, the rope tobived. During the check, the artist tobived. After the visit, the door tobived. Tomorrow, the paper will tobiv",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'rope'}, {'animacy': 'animate', 'object': '', 'subject': 'artist'}, {'animacy': 'inanimate', 'object': '', 'subject': 'door'}]",tobiv,3,"In the lab, the rope tobived. During the check, the artist tobived. After the visit, the door tobived.",2,"[15485, 400]","['Ġtob', 'iv']",paper,inanimate, tobiv,"Tomorrow, the paper will tobiv",7,nonce|0009|tobiv|T-,9,EleutherAI/pythia-1.4b,33,-3.4832825660705566,3.4832825660705566,3.4832828044891357,105.2691650390625,0.033089298306836434
aligned,T-,"In the lab, the rope vidived. During the check, the artist vidived. After the visit, the door vidived. Tomorrow, the shirt will vidiv",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'rope'}, {'animacy': 'animate', 'object': '', 'subject': 'artist'}, {'animacy': 'inanimate', 'object': '', 'subject': 'door'}]",vidiv,3,"In the lab, the rope vidived. During the check, the artist vidived. After the visit, the door vidived.",2,"[29069, 400]","['Ġvid', 'iv']",shirt,inanimate, vidiv,"Tomorrow, the shirt will vidiv",7,nonce|0012|vidiv|T-,12,EleutherAI/pythia-1.4b,33,-4.068233489990234,4.068233489990234,4.068233966827393,106.55416870117188,0.038179960638017256
aligned,T-,"In the lab, the door texomed. During the check, the worker texomed. After the visit, the glass texomed. Tomorrow, the paper will texom",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'door'}, {'animacy': 'animate', 'object': '', 'subject': 'worker'}, {'animacy': 'inanimate', 'object': '', 'subject': 'glass'}]",texom,3,"In the lab, the door texomed. During the check, the worker texomed. After the visit, the glass texomed.",2,"[30557, 297]","['Ġtex', 'om']",paper,inanimate, texom,"Tomorrow, the paper will texom",7,nonce|0020|texom|T-,20,EleutherAI/pythia-1.4b,33,-2.278360605239868,2.278360605239868,2.2783608436584473,106.11116027832031,0.021471453499165457
aligned,T-,"In the lab, the glass vezoped. During the check, the teacher vezoped. After the visit, the rope vezoped. Tomorrow, the chef will vezop",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'glass'}, {'animacy': 'animate', 'object': '', 'subject': 'teacher'}, {'animacy': 'inanimate', 'object': '', 'subject': 'rope'}]",vezop,3,"In the lab, the glass vezoped. During the check, the teacher vezoped. After the visit, the rope vezoped.",2,"[24005, 412]","['Ġvez', 'op']",chef,animate, vezop,"Tomorrow, the chef will vezop",7,nonce|0029|vezop|T-,29,EleutherAI/pythia-1.4b,33,-4.401692867279053,4.401692867279053,4.401693344116211,113.17700958251953,0.03889211563684983
aligned,T-,"In the lab, the door sugoped. During the check, the worker sugoped. After the visit, the glass sugoped. Tomorrow, the driver will sugop",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'door'}, {'animacy': 'animate', 'object': '', 'subject': 'worker'}, {'animacy': 'inanimate', 'object': '', 'subject': 'glass'}]",sugop,3,"In the lab, the door sugoped. During the check, the worker sugoped. After the visit, the glass sugoped.",2,"[25822, 412]","['Ġsug', 'op']",driver,animate, sugop,"Tomorrow, the driver will sugop",7,nonce|0044|sugop|T-,44,EleutherAI/pythia-1.4b,33,-5.193578243255615,5.193578243255615,5.193579196929932,108.8223648071289,0.047725292554841654
aligned,T-,"In the lab, the door vigeted. During the check, the worker vigeted. After the visit, the glass vigeted. Tomorrow, the shirt will viget",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'door'}, {'animacy': 'animate', 'object': '', 'subject': 'worker'}, {'animacy': 'inanimate', 'object': '', 'subject': 'glass'}]",viget,3,"In the lab, the door vigeted. During the check, the worker vigeted. After the visit, the glass vigeted.",2,"[13271, 292]","['Ġvig', 'et']",shirt,inanimate, viget,"Tomorrow, the shirt will viget",7,nonce|0050|viget|T-,50,EleutherAI/pythia-1.4b,33,1.7384092807769775,-1.7384092807769775,1.7384095191955566,115.5545883178711,0.0150440544551419
aligned,T-,"In the lab, the glass fifumed. During the check, the teacher fifumed. After the visit, the rope fifumed. Tomorrow, the driver will fifum",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'glass'}, {'animacy': 'animate', 'object': '', 'subject': 'teacher'}, {'animacy': 'inanimate', 'object': '', 'subject': 'rope'}]",fifum,3,"In the lab, the glass fifumed. During the check, the teacher fifumed. After the visit, the rope fifumed.",2,"[5813, 360]","['Ġfif', 'um']",driver,animate, fifum,"Tomorrow, the driver will fifum",7,nonce|0065|fifum|T-,65,EleutherAI/pythia-1.4b,33,-5.997743606567383,5.997743606567383,5.997744083404541,111.31640625,0.053880144764415994
aligned,T-,"In the lab, the glass bifumed. During the check, the teacher bifumed. After the visit, the rope bifumed. Tomorrow, the shirt will bifum",34,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'glass'}, {'animacy': 'animate', 'object': '', 'subject': 'teacher'}, {'animacy': 'inanimate', 'object': '', 'subject': 'rope'}]",bifum,3,"In the lab, the glass bifumed. During the check, the teacher bifumed. After the visit, the rope bifumed.",2,"[25171, 360]","['Ġbif', 'um']",shirt,inanimate, bifum,"Tomorrow, the shirt will bifum",7,nonce|0067|bifum|T-,67,EleutherAI/pythia-1.4b,33,-2.4466867446899414,2.4466867446899414,2.4466869831085205,115.94619750976562,0.021101916541096114
aligned,T-,"In the lab, the worker dizoped. During the check, the glass dizoped. After the visit, the teacher dizoped. Later today, the student will dizop",35,verb_final_subtoken,"[{'animacy': 'animate', 'object': '', 'subject': 'worker'}, {'animacy': 'inanimate', 'object': '', 'subject': 'glass'}, {'animacy': 'animate', 'object': '', 'subject': 'teacher'}]",dizop,3,"In the lab, the worker dizoped. During the check, the glass dizoped. After the visit, the teacher dizoped.",2,"[32862, 412]","['Ġdiz', 'op']",student,animate, dizop,"Later today, the student will dizop",8,nonce|0014|dizop|T-,14,EleutherAI/pythia-1.4b,34,-2.827239513397217,2.827239513397217,2.827239751815796,113.02506256103516,0.02501427283253257
aligned,T-,"In the lab, the door bufumed. During the check, the worker bufumed. After the visit, the glass bufumed. Later today, the student will bufum",35,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'door'}, {'animacy': 'animate', 'object': '', 'subject': 'worker'}, {'animacy': 'inanimate', 'object': '', 'subject': 'glass'}]",bufum,3,"In the lab, the door bufumed. During the check, the worker bufumed. After the visit, the glass bufumed.",2,"[15264, 360]","['Ġbuf', 'um']",student,animate, bufum,"Later today, the student will bufum",8,nonce|0031|bufum|T-,31,EleutherAI/pythia-1.4b,34,-4.957548141479492,4.957548141479492,4.95754861831665,111.93492126464844,0.04428956184813394
aligned,T-,"In the lab, the teacher vonoped. During the check, the rope vonoped. After the visit, the artist vonoped. Later today, the shirt will vonop",35,verb_final_subtoken,"[{'animacy': 'animate', 'object': '', 'subject': 'teacher'}, {'animacy': 'inanimate', 'object': '', 'subject': 'rope'}, {'animacy': 'animate', 'object': '', 'subject': 'artist'}]",vonop,3,"In the lab, the teacher vonoped. During the check, the rope vonoped. After the visit, the artist vonoped.",2,"[8449, 412]","['Ġvon', 'op']",shirt,inanimate, vonop,"Later today, the shirt will vonop",8,nonce|0043|vonop|T-,43,EleutherAI/pythia-1.4b,34,-3.719386339187622,3.719386339187622,3.7193868160247803,111.35508728027344,0.03340113960544369
aligned,T-,"In the lab, the worker vizoped. During the check, the glass vizoped. After the visit, the teacher vizoped. Later today, the box will vizop",35,verb_final_subtoken,"[{'animacy': 'animate', 'object': '', 'subject': 'worker'}, {'animacy': 'inanimate', 'object': '', 'subject': 'glass'}, {'animacy': 'animate', 'object': '', 'subject': 'teacher'}]",vizop,3,"In the lab, the worker vizoped. During the check, the glass vizoped. After the visit, the teacher vizoped.",2,"[40027, 412]","['Ġviz', 'op']",box,inanimate, vizop,"Later today, the box will vizop",8,nonce|0045|vizop|T-,45,EleutherAI/pythia-1.4b,34,-3.513444185256958,3.513444185256958,3.513444662094116,106.99043273925781,0.03283886766451907
aligned,T-,"In the lab, the rope vilomed. During the check, the artist vilomed. After the visit, the door vilomed. Later today, the student will vilom",35,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'rope'}, {'animacy': 'animate', 'object': '', 'subject': 'artist'}, {'animacy': 'inanimate', 'object': '', 'subject': 'door'}]",vilom,3,"In the lab, the rope vilomed. During the check, the artist vilomed. After the visit, the door vilomed.",2,"[20442, 297]","['Ġvil', 'om']",student,animate, vilom,"Later today, the student will vilom",8,nonce|0054|vilom|T-,54,EleutherAI/pythia-1.4b,34,-4.090977668762207,4.090977668762207,4.090978145599365,109.23501586914062,0.03745116081184261
aligned,T-,"In the lab, the glass vonened. During the check, the teacher vonened. After the visit, the rope vonened. Later today, the student will vonen",35,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'glass'}, {'animacy': 'animate', 'object': '', 'subject': 'teacher'}, {'animacy': 'inanimate', 'object': '', 'subject': 'rope'}]",vonen,3,"In the lab, the glass vonened. During the check, the teacher vonened. After the visit, the rope vonened.",2,"[8449, 257]","['Ġvon', 'en']",student,animate, vonen,"Later today, the student will vonen",8,nonce|0056|vonen|T-,56,EleutherAI/pythia-1.4b,34,-3.881340503692627,3.881340503692627,3.881340980529785,114.02145385742188,0.03404044457618658
aligned,T-,"In the lab, the rope novived. During the check, the artist novived. After the visit, the door novived. During the trial, the paper will noviv",36,verb_final_subtoken,"[{'animacy': 'inanimate', 'object': '', 'subject': 'rope'}, {'animacy': 'animate', 'object': '', 'subject': 'artist'}, {'animacy': 'inanimate', 'object': '', 'subject': 'door'}]",noviv,3,"In the lab, the rope novived. During the check, the artist novived. After the visit, the door novived.",2,"[22458, 400]","['Ġnov', 'iv']",paper,inanimate, noviv,"During the trial, the paper will noviv",9,nonce|0004|noviv|T-,4,EleutherAI/pythia-1.4b,35,-4.756645202636719,4.756645202636719,4.756645679473877,108.82279205322266,0.04371001322174783
