split,regime,subtask,template_id,context_id,subject,subject_class,side,licensing_status,verb,sentence,prompt,prompt_token_count,anchor_token_index,coord_0,projection_norm,residual_norm,projection_norm_frac
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,grow,"Tomorrow, the teacher will grow the cup.","Tomorrow, the teacher will grow",7,6,-8.8163423538208,8.816343307495117,126.87472534179688,0.06948857058601815
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,disagree,"Tomorrow, the teacher will disagree the cup.","Tomorrow, the teacher will disagree",7,6,12.183004379272461,12.183005332946777,135.28823852539062,0.09005221344988017
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,soak,"Tomorrow, the teacher will soak the cup.","Tomorrow, the teacher will soak",7,6,-15.379678726196289,15.379679679870605,131.07562255859375,0.11733440116216533
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,compete,"Tomorrow, the teacher will compete the cup.","Tomorrow, the teacher will compete",7,6,7.247763633728027,7.2477641105651855,130.02134704589844,0.055742878190661066
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,slow,"Tomorrow, the teacher will slow the cup.","Tomorrow, the teacher will slow",7,6,-13.695450782775879,13.695451736450195,125.00656127929688,0.10955786317368595
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,react,"Tomorrow, the teacher will react the cup.","Tomorrow, the teacher will react",7,6,11.104299545288086,11.104300498962402,132.80445861816406,0.0836139133768784
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,move,"Tomorrow, the teacher will move the cup.","Tomorrow, the teacher will move",7,6,-12.253093719482422,12.253094673156738,140.15701293945312,0.08742405689289334
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,die,"Tomorrow, the teacher will die the cup.","Tomorrow, the teacher will die",7,6,10.627708435058594,10.62770938873291,136.43344116210938,0.07789666007254872
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,fade,"Tomorrow, the teacher will fade the cup.","Tomorrow, the teacher will fade",7,6,-3.55108380317688,3.551084041595459,137.5673065185547,0.025813430032640052
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,disappear,"Tomorrow, the teacher will disappear the cup.","Tomorrow, the teacher will disappear",7,6,6.504549026489258,6.504549503326416,139.2333526611328,0.04671689203058435
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,dim,"Tomorrow, the teacher will dim the cup.","Tomorrow, the teacher will dim",7,6,-12.859195709228516,12.859196662902832,112.21363830566406,0.11459566641868482
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,laugh,"Tomorrow, the teacher will laugh the cup.","Tomorrow, the teacher will laugh",7,6,8.335274696350098,8.335275650024414,129.2399139404297,0.06449459300836718
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,good,licensed,stretch,"Tomorrow, the teacher will stretch the cup.","Tomorrow, the teacher will stretch",7,6,-12.435080528259277,12.435081481933594,121.30120849609375,0.10251407744494186
train,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad,unlicensed,scream,"Tomorrow, the teacher will scream the cup.","Tomorrow, the teacher will scream",7,6,8.19333267211914,8.193333625793457,130.0915069580078,0.06298131075104065
