model,pair_key,regime,subtask,template_id,source_idx,direction,clean_side,corrupt_side,clean_verb,corrupt_verb,clean_target,corrupt_target,anchor_token_index,site,site_index,corrupt_metric,patched_metric,clean_metric,exact_effect,normalized_effect
EleutherAI/pythia-1.4b,head|causative|object_frame|0,head,causative,object_frame,0,bad_to_good,bad,good,arrive,equip,., the,7,resid_post_layer_21,22,-8.59375,2.4375,2.4375,11.03125,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|1,head,causative,object_frame,1,bad_to_good,bad,good,arise,conduct,., the,7,resid_post_layer_21,22,-8.5625,0.25,0.25,8.8125,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|2,head,causative,object_frame,2,bad_to_good,bad,good,expire,implement,., the,7,resid_post_layer_21,22,-8.1875,-1.125,-1.125,7.0625,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|3,head,causative,object_frame,3,bad_to_good,bad,good,descend,refuse,., the,7,resid_post_layer_21,22,-2.75,-4.0625,-4.0625,-1.3125,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|4,head,causative,object_frame,4,bad_to_good,bad,good,react,bake,., the,7,resid_post_layer_21,22,-7.1875,-1.1875,-1.1875,6.0,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|5,head,causative,object_frame,5,bad_to_good,bad,good,zoom,engage,., the,7,resid_post_layer_21,22,-6.5,-4.8125,-4.8125,1.6875,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|6,head,causative,object_frame,6,bad_to_good,bad,good,appear,regain,., the,7,resid_post_layer_21,22,-7.28125,1.5625,1.5625,8.84375,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|8,head,causative,object_frame,8,bad_to_good,bad,good,interact,accommodate,., the,7,resid_post_layer_21,22,-5.625,-2.500000476837158,-2.500000476837158,3.124999523162842,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|0,head,causative,object_frame,0,bad_to_good,bad,good,arrive,equip,., the,7,resid_post_layer_22,23,-8.59375,2.4375,2.4375,11.03125,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|1,head,causative,object_frame,1,bad_to_good,bad,good,arise,conduct,., the,7,resid_post_layer_22,23,-8.5625,0.25,0.25,8.8125,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|2,head,causative,object_frame,2,bad_to_good,bad,good,expire,implement,., the,7,resid_post_layer_22,23,-8.1875,-1.125,-1.125,7.0625,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|3,head,causative,object_frame,3,bad_to_good,bad,good,descend,refuse,., the,7,resid_post_layer_22,23,-2.75,-4.0625,-4.0625,-1.3125,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|4,head,causative,object_frame,4,bad_to_good,bad,good,react,bake,., the,7,resid_post_layer_22,23,-7.1875,-1.1875,-1.1875,6.0,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|5,head,causative,object_frame,5,bad_to_good,bad,good,zoom,engage,., the,7,resid_post_layer_22,23,-6.5,-4.8125,-4.8125,1.6875,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|6,head,causative,object_frame,6,bad_to_good,bad,good,appear,regain,., the,7,resid_post_layer_22,23,-7.28125,1.5625,1.5625,8.84375,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|8,head,causative,object_frame,8,bad_to_good,bad,good,interact,accommodate,., the,7,resid_post_layer_22,23,-5.625,-2.500000476837158,-2.500000476837158,3.124999523162842,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|0,head,causative,object_frame,0,bad_to_good,bad,good,arrive,equip,., the,7,resid_post_layer_20,21,-8.59375,2.4375,2.4375,11.03125,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|1,head,causative,object_frame,1,bad_to_good,bad,good,arise,conduct,., the,7,resid_post_layer_20,21,-8.5625,0.25,0.25,8.8125,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|2,head,causative,object_frame,2,bad_to_good,bad,good,expire,implement,., the,7,resid_post_layer_20,21,-8.1875,-1.125,-1.125,7.0625,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|3,head,causative,object_frame,3,bad_to_good,bad,good,descend,refuse,., the,7,resid_post_layer_20,21,-2.75,-4.0625,-4.0625,-1.3125,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|4,head,causative,object_frame,4,bad_to_good,bad,good,react,bake,., the,7,resid_post_layer_20,21,-7.1875,-1.1875,-1.1875,6.0,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|5,head,causative,object_frame,5,bad_to_good,bad,good,zoom,engage,., the,7,resid_post_layer_20,21,-6.5,-4.8125,-4.8125,1.6875,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|6,head,causative,object_frame,6,bad_to_good,bad,good,appear,regain,., the,7,resid_post_layer_20,21,-7.28125,1.5625,1.5625,8.84375,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|8,head,causative,object_frame,8,bad_to_good,bad,good,interact,accommodate,., the,7,resid_post_layer_20,21,-5.625,-2.500000476837158,-2.500000476837158,3.124999523162842,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|0,head,causative,object_frame,0,bad_to_good,bad,good,arrive,equip,., the,7,resid_post_layer_19,20,-8.59375,2.4375,2.4375,11.03125,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|1,head,causative,object_frame,1,bad_to_good,bad,good,arise,conduct,., the,7,resid_post_layer_19,20,-8.5625,0.25,0.25,8.8125,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|2,head,causative,object_frame,2,bad_to_good,bad,good,expire,implement,., the,7,resid_post_layer_19,20,-8.1875,-1.125,-1.125,7.0625,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|3,head,causative,object_frame,3,bad_to_good,bad,good,descend,refuse,., the,7,resid_post_layer_19,20,-2.75,-4.0625,-4.0625,-1.3125,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|4,head,causative,object_frame,4,bad_to_good,bad,good,react,bake,., the,7,resid_post_layer_19,20,-7.1875,-1.1875,-1.1875,6.0,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|5,head,causative,object_frame,5,bad_to_good,bad,good,zoom,engage,., the,7,resid_post_layer_19,20,-6.5,-4.8125,-4.8125,1.6875,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|6,head,causative,object_frame,6,bad_to_good,bad,good,appear,regain,., the,7,resid_post_layer_19,20,-7.28125,1.5625,1.5625,8.84375,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|8,head,causative,object_frame,8,bad_to_good,bad,good,interact,accommodate,., the,7,resid_post_layer_19,20,-5.625,-2.500000476837158,-2.500000476837158,3.124999523162842,1.0
EleutherAI/pythia-1.4b,head|causative|object_frame|0,head,causative,object_frame,0,bad_to_good,bad,good,arrive,equip,., the,7,resid_post_layer_23,24,-8.59375,2.6875,2.4375,11.28125,1.0226628895184136
EleutherAI/pythia-1.4b,head|causative|object_frame|1,head,causative,object_frame,1,bad_to_good,bad,good,arise,conduct,., the,7,resid_post_layer_23,24,-8.5625,0.5,0.25,9.0625,1.0283687943262412
EleutherAI/pythia-1.4b,head|causative|object_frame|2,head,causative,object_frame,2,bad_to_good,bad,good,expire,implement,., the,7,resid_post_layer_23,24,-8.1875,-0.9375,-1.125,7.25,1.0265486725663717
